,name,seed,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30,Round 31
39,Max Panitch,40,15,28,38,32,46,37,29,36,28,21,15,22,13,19,24,19,21.0,19,25,30,38,44,48,52,46,52,52,48,53,57,59
40,Randy Hersom,41,21,13,10,18,28,14,22,31,40,31,28,34,28,36,43,36,43.0,45,52,43,48,46,40,35,39,45,48,50,57,51,49
41,Jeff Cook,42,48,23,15,9,7,5,3,5,9,20,25,31,26,32,36,45,47.0,54,57,59,57,52,55,57,59,56,59,57,61,61,62
42,Craig Rowland,43,41,57,60,65,59,62,64,60,61,64,60,58,55,57,58,55,52.0,49,40,46,43,37,34,28,21,17,20,30,24,30,25
43,Jim Burlant,44,17,10,23,41,29,21,14,9,16,26,20,14,20,14,13,7,6.0,8,11,15,20,24,31,26,18,25,19,16,21,19,23
44,Jeff Fiszbein,45,30,14,11,20,13,8,15,22,30,39,32,27,31,40,29,24,33.0,37,45,49,53,58,54,50,54,54,56,55,50,56,50
45,Kevin Fraley,46,62,49,56,44,49,38,46,39,31,38,31,26,21,16,20,23,32.0,26,32,36,30,23,17,15,19,27,22,29,34,28,24
46,John Karris,47,42,53,35,59,52,43,28,33,23,18,24,17,25,29,25,20,25.0,33,37,47,42,36,33,37,41,39,35,28,22,29,34
47,Jeremy Hall,48,29,42,53,40,31,40,24,32,27,22,27,36,41,47,41,34,41.0,29,38,33,39,32,29,25,31,36,32,26,32,37,31
48,Howard Pistol,49,59,44,30,19,32,44,33,42,34,40,33,38,45,50,56,50,56.0,52,46,40,34,41,43,49,44,51,51,54,52,47,42
49,Frank Tangredi,50,13,6,18,7,23,17,13,21,17,11,7,13,7,15,12,16,17.0,15,21,28,33,40,44,39,34,29,36,39,37,32,35
